"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34";"Mean"
"root";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfovibrionales";"Desulfovibrionaceae";"Desulfovibrio";"Desulfovibrio porci";0;0;0;4.25909070968803e-07;0;0;0;4.66345841454228e-06;0;0.00958155348499133;0;0;0;0;0;6.00057605530131e-06;0;3.26602183299306e-06;0;0;0;0;5.64937956519716e-06;0;0;0;0;0;0;0;3.88451924337145e-05;2.77896292373055e-05;0;0;0.000284358636811805
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides caccae";0;0;0;0;3.00191922702581e-06;0;1.69602903069613e-05;0;1.95395448780244e-05;0;0;0.00953995576236069;3.19027943125825e-06;0.000963793645131659;0.0139690009323075;0;0.00125009439320763;0;0;5.08818079204268e-05;0;2.86387888210715e-06;3.32316445011598e-06;0;0;0;0;0;1.11043326077381e-05;1.38875531763091e-06;0;1.06254464730874e-05;0;0;0.000760168357426525
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Coprobacillaceae";"Sharpea";"None";0;0;0;0;1.23412234888839e-05;0;0;0;0;0;0;0;0.000591265121259863;0.00408968372413698;0.000184837920248682;0.00115291067942522;0.000739960666760786;0;0;0;0;0;3.98779734013917e-06;0;1.56944137495876e-05;0;0;0;7.06639347765152e-06;6.24939892933909e-06;0;0;5.17038549177665e-06;0;0.000200269638950262
"root";"Bacteria";"Firmicutes";"None";"None";"None";"None";"Firmicutes bacterium CAG:555";0;0;0;0;1.33418632312258e-06;0;3.15926976306142e-05;9.32691682908456e-05;0;0;0;0;0;0;0;0;2.66763412864399e-05;0.00116705846832285;0;0;0;0.000189016006219072;0.000150207033145242;0;0.000760378331459613;0;0;0;5.38391884011544e-06;0;3.15814572631825e-06;0;0.00022628040034599;0;7.80692558114773e-05
"root";"Bacteria";"Kiritimatiellaeota";"Kiritimatiellae";"None";"None";"None";"Kiritimatiellae bacterium";0;0;0;0;6.90441422215937e-05;0;2.99299240711082e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00282103430170345;0.00418025130083646;0.00811785543843466;3.72601701490002e-05;0.015165147103322;0;0.00331884947000366;1.94425744468327e-05;0.000211595763663323;0.000147938908586832;0.00293282513512955;3.69064565262241e-06;0.0010890567043105
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Phocaeicola";"Phocaeicola plebeius";0;0;0;0;0;1.15242808650046e-05;0;0;0;8.22987827680833e-06;0;0.00375708948986771;0;4.04326109673008e-05;3.40326576133553e-05;2.80026882580728e-06;0.000122300764667063;0;0;8.6050116336016e-06;1.53062286554641e-06;0;0;2.18318386255984e-06;0;1.41530878860544e-05;0;0;0;0;0;0;6.08280646091371e-06;0;0.000117910725405639
"root";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Selenomonadaceae";"Anaerovibrio";"None";0;0;0;0;0;5.96083493017478e-06;0;0;1.37926199138996e-05;0.000255784616843203;0;0.000353745621912015;0.000368477274310328;0.00563331096062193;0.00620549605564621;0.000720469165039844;9.27515866266987e-05;0;0;0;0;0;0;0;0;1.15535411314729e-06;0;0;0;8.401969671667e-05;0.000115272319010616;0;2.82850500432488e-05;0;0.000408191798697882
"root";"Bacteria";"Lentisphaerae";"Lentisphaeria";"Victivallales";"None";"None";"None";0;0;0;0;0;9.53733588827965e-06;0;0;4.02284747488737e-05;0;0;0;0;0;0;0;0;0;0;1.87065470295687e-05;0;0;2.99084800510438e-06;0.00463953860592249;0.00020210561379571;2.88838528286824e-06;3.62735809279092e-05;1.37404737486341e-05;1.48057768103175e-05;0.000124640789757374;2.5265165810546e-06;1.06254464730874e-05;5.47452581482234e-06;0.00188407460566374;0.000206122280189701
"root";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Rhodocyclales";"Azonexaceae";"Dechloromonas";"Dechloromonas sp. Dech2017";0;0;0;0;0;1.58955598137994e-06;6.31853952612284e-06;0;0;0;0;0.0001030138349524;0;4.01331101453208e-05;0.000128324975037514;0;6.56648400896982e-06;3.04828704412686e-05;5.99201185407646e-05;2.54409039602134e-05;0;0;2.32621511508118e-06;2.7289798281998e-07;2.59438268105428e-05;0;0;2.67175878445662e-06;0;0.00155228125628195;0;0;0.00121564887121361;0;9.41451534936002e-05
"root";"Bacteria";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"None";0;0;0;0;0;8.70281899805518e-05;0;0;0;4.80624891365607e-05;0;0;0.000429092583504235;0.00792449224876898;7.86810065923443e-05;6.32060677825071e-05;4.80174143155918e-05;0;0;0;0;0;0;0;0;0;0;0;0.000120465184047583;0;0;3.10589973828708e-05;0.000298665797230863;0.000195235155023725;0.000274235445110759
"root";"Bacteria";"Actinobacteria";"Actinomycetia";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium pseudolongum";0;0;0;0;0;0;1.42998526117517e-05;0;0;0.000303188715717619;0;0;0;8.20632252225216e-05;0;0;0;0.00036252842346223;0;0;0.0016885831452708;1.27283505871429e-06;0;0;0;0;0;0.000190458233349122;0;1.38875531763091e-06;0;0;1.21656129218274e-06;0;7.77941102147817e-05
"root";"Viruses";"Hofneiviricota";"Faserviricetes";"Tubulavirales";"Inoviridae";"None";"None";0;0;0;0;0;0;0;1.55448613818076e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00306463579718201;0;0;3.34554355350254e-06;1.25481952189162e-05;9.06495300615472e-05
