KEGG_Pathway;Holopig_colon01.featureCounts.tsv;Holopig_colon02.featureCounts.tsv;Holopig_colon03.featureCounts.tsv;Holopig_colon04.featureCounts.tsv;Holopig_colon05.featureCounts.tsv;Holopig_colon06.featureCounts.tsv;Holopig_colon07.featureCounts.tsv;Holopig_colon08.featureCounts.tsv;Holopig_colon09.featureCounts.tsv;Holopig_colon10.featureCounts.tsv;Holopig_colon11.featureCounts.tsv;Holopig_colon12.featureCounts.tsv;Holopig_colon13.featureCounts.tsv;Holopig_colon14.featureCounts.tsv;Holopig_colon15.featureCounts.tsv;Holopig_colon16.featureCounts.tsv;Holopig_colon17.featureCounts.tsv;Holopig_colon18.featureCounts.tsv;Holopig_colon19.featureCounts.tsv;Holopig_colon20.featureCounts.tsv;Holopig_colon21.featureCounts.tsv;Holopig_colon22.featureCounts.tsv;Holopig_colon23.featureCounts.tsv;Holopig_colon24.featureCounts.tsv;Holopig_colon25.featureCounts.tsv;Holopig_colon26.featureCounts.tsv;Holopig_colon27.featureCounts.tsv;Holopig_colon28.featureCounts.tsv;Holopig_colon29.featureCounts.tsv;Holopig_colon30.featureCounts.tsv;Holopig_colon31.featureCounts.tsv;Holopig_colon32.featureCounts.tsv;Holopig_colon33.featureCounts.tsv;Holopig_colon34.featureCounts.tsv
ko00071;0.00152992603031162;0.0015086619533538;0.00150357012714006;0.00177056381763729;0.0013500777611935;0.00135962453849879;0.00140775850891948;0.00174156214665845;0.00121975158008531;0.00151395877085453;0.00153911630416731;0.00104117177589577;0.000188151986911833;0.000602427098148461;0.00122593515498902;0.00111973438874484;0.000875799639036366;0.00157806685536027;0.00124367663252621;0.00126874663687532;0.00141183567900592;0.00169513590508215;0.00157531937795287;0.00161446683392214;0.00140390836426988;0.00165902022243721;0.00122861312659787;0.00122060780279257;0.0015344607610612;0.000893475483071761;0.00133535350349351;0.000991344154269699;0.00125069101870389;0.00110897124064853
ko00072;0.000534087727139362;0.000744035037286301;0.000610186430225225;0.000742685464000474;0.000462380096874106;0.000545358562015125;0.000521543986397268;0.000955570328541833;0.000410672036085529;0.000613479283118448;0.000704802762996273;0.000255405885717193;7.09645618321899e-05;0.000108359589862869;0.000160279020523476;0.000160665665365179;0.000219181113465279;0.000566204364252581;0.000112436180366316;0.000228367869841276;0.000524326029712835;0.000748481771038969;0.000404225797637209;0.000476923252468585;0.000411084471942783;0.000632146881874963;0.0002739451902608;0.000268452347207262;0.000554478491077775;0.000251720785660174;0.000386832163592287;8.36090751019959e-05;0.000374658717474682;0.000227018495673982
ko00100;2.82935401980944e-07;0;1.88508165231177e-06;6.96441732933678e-08;4.00675993825049e-07;4.5719594412334e-07;7.81436863124887e-07;0;1.45404199968706e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4873342583407e-07;7.34336406738316e-07;1.15884346690102e-06;3.65342484571065e-07;1.38007652524332e-06;7.33658588640964e-07;0;7.80327932813765e-07;0;0;3.59729925563784e-07;0
ko00120;0.000318019391826581;0.000321696967184455;0.000349900155925254;0.000378933946889214;0.000265648183906007;0.000336343816226737;0.00028359646157574;0.000460517046607641;0.00026672187811651;0.000316765033822934;0.000441732048117957;0.000118568254528225;4.2195144873194e-05;9.18575993102586e-05;0.000140184337353369;0.000104704421456271;0.000137292964437591;0.000320169570948063;0.000286865118789589;0.00024526709220953;0.000352516847652885;0.000382869005324129;0.000279668979877068;0.000226684000018528;0.000280684086035711;0.000268317959025692;0.000167449285062857;0.000244108221311448;0.00022797600987259;0.000164063947874094;0.000248133854122599;0.000322615707031494;0.000259140445128011;0.00016585017015558
ko00121;0.000366118410163341;0.000355653111664713;0.00039891227888536;0.000428102733234332;0.000305849341953121;0.000378710640382167;0.000332306026043858;0.000477505415678434;0.000307245396455615;0.000346654402062566;0.000486895739400642;0.00018406396985699;4.44008001733837e-05;0.000108986247731955;0.000213280076398072;0.000143427224525257;0.00016276740915565;0.000420405968220274;0.000321598047618761;0.000338571679030394;0.000438478480243969;0.000430247444110058;0.00040539351780371;0.000310398350386696;0.000373330571626376;0.000343996045115413;0.000277280375196805;0.000295264233810323;0.000322407103782324;0.000260824611543001;0.000305460090116123;0.000437794415663382;0.000329332746853645;0.000214811083070524
ko00130;0.000891152204439313;0.000682259400942699;0.000822910644374561;0.00111493357025352;0.000981389067542153;0.000834687395321179;0.000739499751470518;0.000323033329247308;0.000689342346286424;0.000490310178164297;0.0007627991720779;0.000806410285805215;0.000147587108999649;0.000760031552223708;0.00146744347679271;0.00149694204495633;0.000818377045827013;0.000664124049723431;0.00134711112473631;0.00108539986137418;0.00078409329900268;0.00100348387014161;0.00149435744640878;0.0016960911499019;0.00121739555786023;0.00151898966727947;0.00129738694010583;0.000908402725208176;0.00168937286357811;0.000613857973813495;0.0010116641500489;0.00122631448602186;0.00107064619095921;0.000870729801129435
ko00140;0.00011100498937719;2.75467517470368e-05;7.94634419589885e-05;6.93655966001943e-05;8.28063720571767e-05;8.16856753500368e-05;0.000136295612876699;6.27654114771183e-05;0.000103426639629915;2.34756079715443e-05;0.000191369461545391;0.000137842446905309;8.72672314422876e-06;0.000118072786833709;0.000232311548818438;0.000167883731726722;9.85348158731517e-05;3.42101109334279e-05;0.000450084407810782;0.000320302249443092;3.65065991096839e-05;7.21347401335316e-05;5.25474074925597e-05;8.09464669889236e-05;7.57517676784773e-05;4.13358925400405e-05;6.68762082857494e-05;0.000186816155162122;6.61789250215927e-05;6.41819724739322e-05;0.000142476084435789;0.000651718325062281;8.30976128052342e-05;8.95866570092469e-05
ko00190;0.00480924165107142;0.00570190487152031;0.00527489348201117;0.00558671629324738;0.00514788516866423;0.00486669842654492;0.00547168603533905;0.00564461450898273;0.00500968044266096;0.00525286965956383;0.00579366061248942;0.00500608324569361;0.000673587949066624;0.00294946970383366;0.00562916931450444;0.00569547895139668;0.00340979225884592;0.00614260689385475;0.00682234548496128;0.00608352430868315;0.00649486623097942;0.00583620657852976;0.00561491754727904;0.00586164266083295;0.0053083569630665;0.00564146207139585;0.0045614979350605;0.00555826416377928;0.0050689495368781;0.00431430308587184;0.00588313495117646;0.00582423700232058;0.00544581644438805;0.00600847535717183
ko00195;0.00197328580521576;0.00249598117438621;0.00226688319004538;0.00243065129211183;0.0018922591601711;0.00185964450272169;0.00188085340980301;0.0024782673491176;0.00148546195072378;0.00186901955773449;0.00215695560091444;0.00148393011926889;0.000324519023297474;0.000975236308765821;0.00184275687145133;0.00181784878354777;0.00126119519873136;0.00221693874644887;0.00166760519173214;0.00212264672619325;0.00272578803914899;0.00249983765110262;0.00210189629970239;0.00187261432459861;0.00176223496258796;0.00242117683703596;0.00143004679609484;0.00137841109558571;0.00196750240855675;0.0013927553054171;0.00203622070672815;0.00147757417206113;0.00195009592648128;0.00178694205889433
ko00220;0.00251105169258088;0.00274294734970247;0.00259445237870478;0.00276995770439712;0.00251424186125218;0.00232095521034214;0.00275163455427851;0.00228122261324859;0.0025166938245888;0.0027913556459958;0.00275479828400399;0.00287541719263441;0.000290954703511979;0.00135258878893406;0.00291915143448926;0.00271373819665698;0.00176034298187035;0.00340595246663394;0.00346700868552509;0.00278028094337332;0.00311281503127275;0.00277142525258592;0.00275160282567521;0.00284899930848105;0.00253115809875749;0.00294497357634384;0.00228994947769854;0.00274161544951595;0.00266650617535433;0.0020656580928135;0.00284496437288366;0.00291262303868246;0.00249742500822657;0.00293535768112716
ko00230;0.0175235098098891;0.0227054783125242;0.0190175737462068;0.0217641523750439;0.0178447063989893;0.0174696094236009;0.0177128944961904;0.0263451456752648;0.0154944612063175;0.0189590130829501;0.0217745057254479;0.0131766052227946;0.00248682840193561;0.00808701980056091;0.0151491583676866;0.0151508911297352;0.0103448104814813;0.0210248546108897;0.0162443105721685;0.0167263152668032;0.0203168921110779;0.0219771321288315;0.0189423024275864;0.0178722794671971;0.0171129464345345;0.021098737251113;0.0123137327964836;0.014729530091674;0.0177155937252645;0.0123945338028306;0.0176628369422977;0.0137247179851481;0.0167154355524503;0.0153052732609622
