"metabolites";"genes";"value"
"X4.hydroxyphenylpyruvate";"bhp";-0.0643584925364419
"butyrate.isobutyrate..4.0.";"bhp";0.260343795606192
"N.acetylneuraminate";"bhp";0.18503066604227
"N.1..acetylspermine";"bhp";-0.423453911927631
"phenethylamine";"bhp";-0.733960680841125
"N.acetyl.glucosamine.1.phosphate";"bhp";0.449003254475159
"N.acetylglucosaminylasparagine";"bhp";0.227137552116645
"N.acetyl.beta.glucosaminylamine";"bhp";-0.0612775008724633
"creatine";"bhp";-0.196669967883967
"dihomolinoleate..20.2n6.";"bhp";0.145320106817657
"glucose.1.phosphate";"bhp";0.531706243804837
"gamma.glutamylhistidine";"bhp";-0.146825795733026
"glycerol";"bhp";-0.00530615231018537
"choline";"bhp";0.0741149661390408
"anthranilate";"bhp";-0.284991728918021
"gamma.glutamylleucine";"bhp";-0.193417810016434
"N.acetylsphingosine";"bhp";0.434895071172752
"NAD.";"bhp";0.00924297499193581
"nicotinamide.ribonucleotide..NMN.";"bhp";-0.0787364536350087
"beta.hydroxyisovalerate";"bhp";-0.392484104750163
"palmitoyl.ethanolamide";"bhp";0.383925794572445
"N.palmitoyl.sphingosine..d18.1.16.0.";"bhp";0.409087226494937
"X1.palmitoyl.2.oleoyl.GPE..16.0.18.1.";"bhp";0.0296117532149054
"X1.palmitoyl.2.linoleoyl.GPC..16.0.18.2.";"bhp";0.0525480244911906
"stearoyl.sphingomyelin..d18.1.18.0.";"bhp";0.161238563748213
"X1.palmitoyl.2.oleoyl.GPC..16.0.18.1.";"bhp";0.073259135121269
"N.stearoyl.sphingosine..d18.1.18.0..";"bhp";0.373998154766291
"glycochenodeoxycholate";"bhp";0.135666785702134
"taurochenodeoxycholate";"bhp";-0.305942065283076
"azelate..C9.DC.";"bhp";-0.277460415961629
"eicosapentaenoate..EPA";"bhp";-0.0643584925364419
"X20.5n3.";"bhp";-0.251614319224919
"methylsuccinate";"bhp";0.0694934786430729
"tricarballylate";"bhp";0.0448455453312441
"ethylmalonate";"bhp";-0.278829745590063
"carnitine";"bhp";0.204714779451023
"benzoate";"bhp";0.31083782565473
"X3.phenylpropionate..hydrocinnamate.";"bhp";-0.0636738277222244
"phenylacetate";"bhp";-0.0542457759269424
"xanthurenate";"bhp";0.24187152585452
"suberate..C8.DC.";"bhp";0.0818424582758171
"X3.methyl.2.oxovalerate";"bhp";-0.0729168027141602
"methionine.sulfoxide";"bhp";-0.276946917350965
"X3.methylhistidine";"bhp";-0.50014764678586
"X5.hydroxylysine";"bhp";-0.0145491273021212
"X4.guanidinobutanoate";"bhp";0.45272330414898
"X5..2.Hydroxyethyl..4.methylthiazole";"bhp";-0.0378277309855151
"cadaverine";"bhp";-0.13522130080795
"diaminopimelate";"bhp";-0.168465134188428
"X2..deoxycytidine";"bhp";0.0150626259127843
"X2..deoxyinosine";"bhp";-0.0189153105678632
"dipicolinate";"bhp";0.416227976817601
"FMN";"bhp";0.174247195218345
"glucuronate";"bhp";0.308783831212078
"glycerol.3.phosphate";"bhp";-0.0472418721810052
"imidazole.lactate";"bhp";0.256763169747605
"indole";"bhp";-0.25821634514337
"kynurenine";"bhp";-0.328981443231493
"glycerophosphorylcholine..GPC.";"bhp";-0.0221040924849353
"allo.threonine";"bhp";0.180936500183089
"maltotriose";"bhp";0.345755731179821
"N.acetylglutamate";"bhp";0.104069051761055
"N.acetylmuramate";"bhp";0.0782229550243456
"N.alpha.acetylornithine";"bhp";0.155259608009519
"protoporphyrin.IX";"bhp";0.0703708166346461
"xanthosine";"bhp";-0.194764819331862
"ribitol";"bhp";0.0965377388046628
"X2.isopropylmalate";"bhp";0.103392285818908
"quinate";"bhp";0.228092475263016
"gentisate";"bhp";-0.21481358546073
"X5.aminovalerate";"bhp";-0.255208809499561
"indolelactate";"bhp";-0.0349285805193864
"X2..deoxyadenosine.5..monophosphate";"bhp";-0.276091086333194
"glycylvaline";"bhp";-0.0232571632632229
"gamma.glutamylphenylalanine";"bhp";0.071467349883103
"X4.methyl.2.oxopentanoate";"bhp";-0.12359144099545
"X1.5.anhydroglucitol..1.5.AG.";"bhp";0.129913450627582
"X1.stearoyl.2.arachidonoyl.GPI..18.0.20.4.";"bhp";-0.0203913647528924
"X1.oleoyl.GPS..18.1.";"bhp";0.239803851179668
"N.oleoyl.sphingosine..d18.1.18.1..";"bhp";0.100114142694184
"X1.palmitoyl.2.oleoyl.GPG..16.0.18.1.";"bhp";0.154905414216702
"X1.stearoyl.GPI..18.0.";"bhp";0.200777956769272
"X1.2.dipalmitoyl.GPC..16.0.16.0.";"bhp";-0.00701781434572904
"docosahexaenoate..DHA";"bhp";0.310153160840513
"X22.6n3.";"bhp";0.397105592246131
"X1.myristoyl.2.palmitoyl.GPC..14.0.16.0.";"bhp";0.191167579924677
"N.acetylglucosamine.6.sulfate";"bhp";-0.157130574862909
"glucosamine.6.sulfate";"bhp";0.0949972429726735
"alpha.hydroxyisocaproate";"bhp";0.301937183069903
"maleate";"bhp";0.320936631664438
"isovalerate..C5.";"bhp";0.0411427983674729
"X4.ureidobutyrate";"bhp";-0.212043565900823
"X2.hydroxyoctanoate";"bhp";-0.415420376026448
"isoxanthopterin";"bhp";-0.104411384168164
"mevalonolactone";"bhp";0.240830848400994
"phenyllactate..PLA.";"bhp";0.250244989596484
"palmitoylcarnitine..C16.";"bhp";-0.32481268599566
"N.acetylaspartate..NAA.";"bhp";0.138673574462052
"acetylcarnitine..C2.";"bhp";-0.0368007337641889
"isocaproate..i6.0.";"bhp";0.172193200775693
"cysteine.s.sulfate";"bhp";-0.138473458675483
"X6.hydroxynicotinate";"bhp";-0.296117532149054
"X1.palmitoylglycerol..16.0.";"bhp";-0.100303395282859
"oxalate..ethanedioate.";"bhp";-0.157644073473572
"X4.hydroxybenzoate";"bhp";0.10155627958274
"X1.oleoylglycerol..18.1.";"bhp";-0.128032320258666
"X3.methyl.2.oxobutyrate";"bhp";0.0254376215222353
"X2.oleoylglycerol..18.1.";"bhp";-0.0869524314056183
"X2.linoleoylglycerol..18.2.";"bhp";-0.0915739189015862
"X3.hydroxydecanoate";"bhp";0.238605687754787
"N.acetylglycine";"bhp";0.0119816342488057
"ribonate";"bhp";-0.0977250038951868
"threonate";"bhp";0.473114261893243
"galactonate";"bhp";-0.354656373764648
"beta.sitosterol";"bhp";-0.0980782346366521
"indoleacetate";"bhp";0.249560324782267
"X1.linoleoylglycerol..18.2.";"bhp";-0.10817704064636
"erythrose";"bhp";-0.10663654481437
"X2.palmitoylglycerol..16.0.";"bhp";0.223611402736856
"X1.methylhistidine";"bhp";-0.399780684472634
"nicotinic.acid.mononucleotide..NaMN.";"bhp";0.206768773893675
"X7.ketodeoxycholate";"bhp";-0.157466589813035
"X6.oxolithocholate";"bhp";-0.237065191922798
"indolepropionate";"bhp";-0.202318452601261
"trigonelline..N..methylnicotinate.";"bhp";-0.118104680452513
"dodecanedioate..C12.";"bhp";0.0484400356058858
"glutamate..gamma.methyl.ester";"bhp";-0.258460967367094
"N.acetyltyrosine";"bhp";0.139671622100363
"X3.hydroxylaurate";"bhp";-0.232140944423651
"pyridoxate";"bhp";0.0726070235500913
"threonylphenylalanine";"bhp";0.481819965160007
"X1.methylguanine";"bhp";0.0443857959822594
"X5.hydroxyhexanoate";"bhp";-0.0917365884271572
"propionylglycine..C3.";"bhp";-0.0402240578352762
"butyrylglycine..C4.";"bhp";-0.296631030759718
"X2.hydroxyadipate";"bhp";-0.189341943999773
"propionylcarnitine..C3.";"bhp";-0.0342332407108734
"prolylhydroxyproline";"bhp";0.399673085299446
"docosapentaenoate..DPA";"bhp";-0.311351324265393
"X22.5n3.";"bhp";0.0666001226478589
"docosadienoate..22.2n6.";"bhp";0.0284135897900249
"myristoleate..14.1n5.";"bhp";-0.0378277309855151
"X1.methylhistamine";"bhp";0.210705596575425
"X4.imidazoleacetate";"bhp";-0.158499904491344
"X1.methyl.4.imidazoleacetate";"bhp";0.451704609506851
"sebacate..C10.DC.";"bhp";0.224411665379293
"guanidinosuccinate";"bhp";0.360486030579956
"delta.tocopherol";"bhp";0.442122303780929
"daidzein";"bhp";0.0705204758643991
"I.urobilinogen";"bhp";-0.0386835620032869
"nervonate..24.1n9..";"bhp";0.122383835541372
"N.acetylglutamine";"bhp";-0.388576968226692
"N.acetylphenylalanine";"bhp";-0.221660233602905
"N.acetylasparagine";"bhp";-0.0987628994508696
"glycylleucine";"bhp";0.250693327257854
"gamma.glutamyl.epsilon.lysine";"bhp";0.590632451236817
"X1.palmitoyl.GPC..16.0.";"bhp";-0.150455092924288
"N.acetylarginine";"bhp";-0.0446743791276897
"campesterol";"bhp";-0.128032320258666
"myristoylcarnitine..C14.";"bhp";0.0267019277544812
"X1.stearoyl.GPC..18.0.";"bhp";-0.126491824426677
"X1.oleoyl.GPC..18.1.";"bhp";-0.11219961008124
"N.acetylthreonine";"bhp";-0.0217381078514046
"phenylacetylglycine";"bhp";-0.353115877932659
"N.acetylisoleucine";"bhp";-0.357737365428626
"X10.heptadecenoate..17.1n7.";"bhp";-0.0071889805492834
"hyocholate";"bhp";-0.335999257577222
"N.acetylhistidine";"bhp";-0.358935528853507
"stachydrine";"bhp";0.279343244200727
"alpha.hydroxyisovalerate";"bhp";0.180066846139194
"nicotinamide.riboside";"bhp";-0.281910737254042
"gamma.glutamylthreonine";"bhp";0.338566750630537
"p.cresol.sulfate";"bhp";0.175103026236117
"nicotinate.ribonucleoside";"bhp";0.235353529887254
"erythronate.";"bhp";-0.136077131825722
"N.acetylproline";"bhp";0.285676393732238
"eicosenoate..20.1n9.or.1n11.";"bhp";-0.191500162740723
"linolenate..18.3n3.or.3n6.";"bhp";-0.131656954775913
"stearoylcarnitine..C18.";"bhp";0.246479333118288
"laurylcarnitine..C12.";"bhp";0.277289249758074
