"regne";"phylum";"classe";"ordre";"famille";"genre";"espece";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34"
"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";NA;NA;NA;0;0;0;0;6.67093161561291e-07;0;0;0;8.90773369439347e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Fibrobacteres";NA;NA;NA;NA;NA;0;0;0;0;3.33546580780646e-07;0;0;0;0;0;0;0;0;0;0;0;0;7.98360892509415e-06;0;0;0;2.86387888210715e-05;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";NA;NA;0;0;0;0;2.66837264624517e-06;0;0;0;0;0;0;0;0;0;0;0;0;2.54023920343905e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Facklamia";NA;0;0;0;0;1.06734905849807e-05;0;0;0;3.73550122668113e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3644899140999e-06;0;3.4371784866132e-05;0;1.4503833401336e-05;0;0;4.42140401684555e-06;0;1.03407709835533e-05;1.8453228263112e-06
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";NA;NA;0;0;0;0;5.00319871170969e-06;0;0;0;0;0;2.74034834090177e-05;0.000189020668851337;5.95518827168207e-05;0.000210549077851944;0.000106156913656338;2.88027650654463e-05;0.000154312374210791;0;0;0;0;1.75014820573215e-05;0;0;0;0.000150484873237435;1.24012242488578e-06;3.81679826350946e-06;0;0;0;3.26936814556535e-06;0;0
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactiplantibacillus";NA;0;0;0;0;3.36882046588452e-05;0;0;0;0;0;0;1.45774294743962e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus sp. UMNPBX14";0;0;0;0;2.50159935585484e-05;0;0;3.10897227636152e-06;0;9.87585393217e-07;0;0;0;0;0;0;1.64162100224245e-06;2.24992615161744e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pluranimalium";0;0;0;0;2.33482606546452e-06;0;0;0;0;0;4.87173038382537e-06;0;0;0;0;0;0;0;0;0;0;1.59104382339286e-06;0;0;0;1.73303116972094e-06;0;3.28244650661814e-05;0;1.84010079586095e-05;0;0;6.99522743005077e-06;0
"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus porci";0;0;0;0;0.000109403278496052;5.16605693948481e-05;0;0;0;0;0;0;0;0;0;0;0;0;0.000260977383764897;0;0.000135000936741194;0;0;0;0;0;0;0.000184351356127507;0;2.43032180585409e-06;9.47443717895475e-05;0;0.000168797879290355;0.00019929486524161
"Bacteria";"Firmicutes";"Bacilli";NA;NA;"Candidatus Onthocola";NA;0;0;0;0;1.66773290390323e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Christensenellaceae";"Candidatus Ornithoclostridium";NA;0;0;0;0;6.50415832522259e-05;1.23190588556945e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.43032180585409e-06;0;0;4.2579645226396e-06;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Candidatus Ventrousia";NA;0;0;0;0;6.33738503483227e-06;0;0;0;1.72407748923745e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.70144420257937e-06;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium clostridioforme CAG:132";0;0;0;0;2.33482606546452e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66158222505799e-06;0;0;0;0;0;0;2.74279175232104e-05;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium porci";0;0;0;0;6.67093161561291e-07;0;4.32321125471563e-06;9.01601960144841e-06;1.26432349210746e-05;9.21746367002533e-06;4.56724723483628e-06;0;0;0;0;0;1.2722562767379e-05;0.000230073093568622;4.69253940379482e-06;0;5.51024231596709e-06;9.54626294035718e-07;0;0;0;0;0;0;0;0;0.00012285186875378;0.000723347702206333;2.34188048745178e-05;5.90503304419585e-06
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium sp. CAG:813";0;0;0;0;1.1340583746542e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.50980173545741e-06;0;0;0;0;0;0;0;7.75035587050705e-06
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium sp. OF03-18AA";0;0;0;0;3.33546580780646e-06;0;0;0;0;0;0;0;0;0;0;0;0;3.62891314777007e-06;0;0;0;6.36417529357145e-06;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriaceae";"Eubacterium";"Eubacterium sp. TM05-53";0;0;0;0;2.33482606546452e-06;0;0;0;2.58611623385617e-06;0;0;0;0;0;0;0;3.69364725504552e-06;1.81445657388503e-06;0;0;0;1.59104382339286e-06;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriaceae";NA;"Eubacteriaceae bacterium Marseille-Q4139";0;0;0;0;4.66965213092904e-06;0;0;3.73076673163382e-06;1.46546586585183e-05;0;4.2627640858472e-05;0;0;0;0;0;0;5.1530566698335e-05;1.44385827809071e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Acetatifactor";"Acetatifactor muris";0;0;0;0;3.00191922702581e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Bilifractor";"Bilifractor porci";0;0;0;0;2.33482606546452e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Butyrivibrio";"Butyrivibrio sp.";0;0;0;0;3.6690123885871e-06;0;0;4.35256118690613e-06;0;0;0;0;0;0;0;0;2.46243150336368e-06;0;0;0;0;0;0;1.63738789691988e-06;1.37726488006585e-05;0;0;0;0;0;0;0;2.43312258436548e-06;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Butyrivibrio";"Butyrivibrio sp. NC3005";0;0;0;0;1.33418632312258e-06;0;0;0;5.45957871591858e-06;0;2.43586519191268e-06;0;0;8.68552383742017e-06;0;0;2.46243150336368e-06;0;2.52675198665875e-06;0;0;0;0;0;1.2811766326194e-06;0;0;0;0;0;0;0;1.03407709835533e-05;0
"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Candidatus Choladousia";"Candidatus Choladousia intestinipullorum";0;0;0;0;5.67029187327098e-06;0;4.32321125471563e-06;0;1.49420049067245e-05;8.888268538953e-06;4.2627640858472e-06;0;0;0;0;0;0;1.81445657388503e-06;0;0;0;0;0;0;1.9217649489291e-06;2.10852125649381e-05;0;3.66412633296908e-05;0;2.77751063526182e-06;0;0;0;0
