"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond34";"piglet";"group";"abund"
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus equicursoris";0;"1";"Control";2.19136488285182e-05
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus helveticus";0;"1";"Control";6.04816707667104e-05
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus johnsonii";0.000105921530230263;"1";"Control";0.0513848768650159
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus porci";0.0300938937160484;"1";"Control";0.00069685403274688
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"None";0.0234610653491554;"1";"Control";0.103730009821697
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Ligilactobacillus";"Ligilactobacillus salivarius";0.00338210767606317;"1";"Control";0.00533685003569733
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Limosilactobacillus";"Candidatus Limosilactobacillus merdavium";0.000195604219588988;"1";"Control";1.00802784611184e-05
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Limosilactobacillus";"Limosilactobacillus mucosae";0.0123060888641042;"1";"Control";0.00928656610054946
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Limosilactobacillus";"Limosilactobacillus reuteri";0.0162831286193701;"1";"Control";0.0125889529790072
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Limosilactobacillus";"Limosilactobacillus vaginalis";2.28820030462589e-05;"1";"Control";0.0150239976368321
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Limosilactobacillus";"None";0.0146681020817825;"1";"Control";0.0300519397304534
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"None";"None";0.00235906070115624;"1";"Control";0.0141194022131909
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"None";"None";"None";1.88222928283743e-05;"1";"Control";0.00276813212001842
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"None";0.000867670792931528;"1";"Control";0.00249464978263852
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus orisratti";4.05971021788465e-06;"1";"Control";3.06791083599255e-06
"root";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus suis";0.00224944852527336;"1";"Control";0.0031012195822119
"root";"Bacteria";"Firmicutes";"Bacilli";"None";"None";"None";"Bacilli bacterium";0.000229558159593114;"1";"Control";3.90062949147625e-05
"root";"Bacteria";"Firmicutes";"Bacilli";"None";"None";"None";"None";0.000523333553541857;"1";"Control";0.00268047752470435
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium cadaveris";0;"1";"Control";1.49012812033924e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium celatum";0.00474875376122925;"1";"Control";0.000187142560995546
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"Clostridium perfringens";0.00401948218027106;"1";"Control";0.0125587121436238
